MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Habano Toro,,Toro,6.00,52,Parejo,Ecuador,Cameroon,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Habano Chiquitas,,Short Robusto,3.50,50,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Habano Corticas,,Short Robusto,4.00,52,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Habano Geniales,,Petite Corona,4.50,48,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Habano Pequenas,,Corona,5.00,46,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Habano Flaquitas,,Torpedo,6.00,46,Pyramid,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Maduro Chiquitas,,Short Robusto,3.50,50,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Maduro Corticas,,Short Robusto,4.00,52,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Maduro Geniales,,Petite Corona,4.50,48,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Maduro Pequenas,,Corona,5.00,46,Parejo,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Last Call Maduro Flaquitas,,Torpedo,6.00,46,Pyramid,Habano Rosado Ecuador,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
